id_campaign,dim_campaign_type,dim_region,dim_product,ds
1,other_ads,US_OR,Product1,2022-01-01
2,google_ads,US_NY,Product1,2022-01-01
3,other_ads,US_OR,Product1,2022-01-01
4,email,US_WA,Product1,2022-01-01
5,other_ads,US_OR,Product1,2022-01-01
6,other_ads,US_OR,Product1,2022-01-01
7,other_ads,US_OR,Product1,2022-01-01
8,google_ads,US_CA,Product1,2022-01-01
9,google_ads,US_CA,Product1,2022-01-01
10,google_ads,US_WA,Product1,2022-01-01
11,facebook_ads,US_WA,Product1,2022-01-01
12,facebook_ads,US_CA,Product1,2022-01-01
13,email,US_NY,Product1,2022-01-01
14,facebook_ads,US_OR,Product1,2022-01-01
15,other_ads,US_OR,Product1,2022-01-01
16,other_ads,US_OR,Product1,2022-01-01
17,facebook_ads,US_WA,Product1,2022-01-01
18,email,US_CA,Product1,2022-01-02
19,google_ads,US_OR,Product1,2022-01-02
20,google_ads,US_OR,Product1,2022-01-02
21,google_ads,US_WA,Product1,2022-01-02
22,google_ads,US_NY,Product1,2022-01-02
23,facebook_ads,US_OR,Product1,2022-01-02
24,email,US_WA,Product1,2022-01-02
25,email,US_CA,Product1,2022-01-02
26,facebook_ads,US_NY,Product1,2022-01-02
27,email,US_NY,Product1,2022-01-02
28,other_ads,US_WA,Product1,2022-01-02
29,google_ads,US_NY,Product1,2022-01-03
30,google_ads,US_NY,Product1,2022-01-03
31,other_ads,US_WA,Product1,2022-01-03
32,other_ads,US_OR,Product1,2022-01-03
33,other_ads,US_WA,Product1,2022-01-03
34,email,US_NY,Product1,2022-01-03
35,other_ads,US_NY,Product1,2022-01-03
36,google_ads,US_WA,Product1,2022-01-03
37,google_ads,US_NY,Product1,2022-01-04
38,facebook_ads,US_NY,Product1,2022-01-04
39,facebook_ads,US_NY,Product1,2022-01-04
40,google_ads,US_WA,Product1,2022-01-04
41,google_ads,US_WA,Product1,2022-01-04
42,facebook_ads,US_CA,Product1,2022-01-04
43,facebook_ads,US_WA,Product1,2022-01-05
44,email,US_CA,Product1,2022-01-05
45,other_ads,US_NY,Product1,2022-01-05
46,other_ads,US_CA,Product1,2022-01-05
47,facebook_ads,US_NY,Product1,2022-01-05
48,google_ads,US_WA,Product1,2022-01-05
49,email,US_OR,Product1,2022-01-06
50,email,US_NY,Product1,2022-01-06
51,facebook_ads,US_NY,Product1,2022-01-06
52,facebook_ads,US_NY,Product1,2022-01-06
53,google_ads,US_OR,Product1,2022-01-06
54,email,US_WA,Product1,2022-01-06
55,email,US_OR,Product1,2022-01-06
